Reference,width,length,factor,Predicted Factor,Difference,Angle Gap,Fit Give,Within thresholds
3.0,4.498725637250752,6.077113722400499,1.0327044113320498,1.032554030293338,0.00015038103871178876,40.977521350571,0.09064983466201249,1.0
6.0,6.996234858490462,10.669436558293956,1.00130208,0.9949461336900061,0.006355946309994032,149.03433053717893,0.23876598181002984,0.0
14.0,4.388700708144147,5.2880216849647175,1.043026500966466,1.0350501320378278,0.007976368928638289,30.216699779329105,0.07410292658862505,1.0
16.0,6.107799054864171,10.51587054148629,0.99956729,1.0019262992694455,-0.0023590092694455445,147.14696525996723,0.22035969579890452,0.0
18.0,7.602644845085185,10.075797684521598,0.99805447,0.9937117469478186,0.004342723052181419,112.15324795236326,0.25261401555172835,0.0
19.0,5.799848855586543,10.375005530286687,1.0010888501742161,1.0051319155538676,-0.004043065379651489,141.95485188560974,0.17116316485873873,0.0
20.0,4.289046973256228,5.112375079424977,1.037966739503372,1.0381362690302134,-0.00016952952684134992,32.157229552784976,0.07250185138136894,1.0
22.0,5.178075845609066,10.260920485052482,1.0117127071823204,1.0117412165746251,-2.8509392304698622e-05,125.98028222402463,0.1401123660326583,1.0
32.0,7.715224819087328,11.165711610484696,0.99333046,0.995086944681807,-0.0017564846818070023,186.07299263664189,0.5869786044333407,0.0
33.0,5.905677537836096,6.209542820355532,1.0067893123083662,1.0103660870553377,-0.0035767747469714894,17.749270443888573,0.05167843937733707,1.0
34.0,7.044717914946197,9.674088332690774,0.99333046,0.9970987233347379,-0.003768263334737898,78.69007145734345,0.10650484253755549,1.0
38.0,4.677451075152146,5.724189092148102,1.0271898437256077,1.030112571389138,-0.002922727663530189,25.600689966759987,0.07304059007020675,1.0
41.0,6.9190522894736635,10.011765625140017,0.9948287,0.9974006950880524,-0.0025719950880523923,70.19730177686489,0.10817553237676247,1.0
43.0,6.100201892456645,7.735733040631356,1.0077825276772991,1.0063087563970177,0.0014737712802814773,49.539329716149304,0.0772489248597022,1.0
57.0,3.574667063221313,4.618824334546386,1.0597044962793596,1.053915104502793,0.005789391776566566,122.38986085556925,0.08192411897910523,1.0
58.0,5.880418869342557,7.4549226392851375,1.0089991220368746,1.0092824098747142,-0.00028328783783959643,43.46347660071894,0.06950878084841144,1.0
70.0,7.4610057431270445,8.363231852713165,0.9971904,0.9946972208447789,0.0024931791552211813,93.21643945012345,0.15530474904415548,1.0
73.0,7.294142970254137,9.137754129120005,0.99547219,0.99582557684986,-0.00035338684985997126,65.1411819137885,0.16770103848443774,1.0
82.0,6.268780958757144,7.974676634137556,1.00086711,1.0046446115351402,-0.0037775015351402264,51.842216358207295,0.08473069706551073,1.0
83.0,5.782263255290616,7.931108813361367,1.0105517696196968,1.0096683686844345,0.0008834009352622907,44.03534420945645,0.0745915493869691,1.0
104.0,5.658933053628137,8.328342665092244,1.0066006600660067,1.010681134749038,-0.00408047468303141,31.29903437307055,0.07755527633285553,1.0
106.0,6.087204309185503,9.70815832511756,1.0008708904855215,1.0035667879335264,-0.0026958974480049136,97.63080888808916,0.11178189785992726,1.0
109.0,6.306754231327719,7.827168492493022,1.00697928,1.0039228433040612,0.0030564366959386913,47.72671086741518,0.08413370968805212,1.0
112.0,3.5387289499820627,4.149551318119265,1.0539036477515922,1.0562786601597365,-0.002375012408144306,119.88550773302218,0.07244621312015842,1.0
,9.0,9.0,0.99166132,0.9948702378152514,-0.0032089178152514553,271.09466152516086,0.753143975166138,0.0
,8.0,8.0,0.99336046,0.99277019296823,0.0005902670317700087,100.66252120669516,0.13584269738197502,1.0
,6.0,6.0,1.0144357,1.008201416398702,0.006234283601297852,17.739796735797086,0.05233437108325745,1.0
,4.0,4.0,1.04582590089562,1.0450482398473702,0.0007776610482499446,54.70315445043088,0.05699206616172947,1.0
,7.0,7.0,0.99677627,0.9986029662991722,-0.0018266962991722036,45.37631184925352,0.09616225903093839,1.0
,3.0,3.0,1.07577125,1.068042719670108,0.007728530329891958,180.0,0.2140556696983199,0.0
,5.0,5.0,1.030396069561682,1.0237498200126436,0.006646249549038474,24.03116877726649,0.05649742971021038,1.0
,5.0,13.0,1.0133740227447605,1.0004406629693163,0.012933359775444186,175.17739123668295,0.7188785059629701,0.0
,4.0,13.0,1.0248961349325367,1.0207673945673015,0.0041287403652352506,172.0496667302281,0.7961831276407474,0.0
,4.0,6.5,1.0406677687844663,1.0415060752615604,-0.0008383064770940418,69.19526303150413,0.13458883410426936,1.0
,5.0,8.0,1.0171534814552374,1.0202352435653401,-0.0030817621101026926,48.78502848649882,0.09033704744931742,1.0
,3.0,6.5,1.0544226555747014,1.0657325962019328,-0.011309940627231452,180.0,0.31514829554621415,0.0
,3.0,5.0,1.069714115458748,1.0669452072014205,0.0027689082573274515,180.0,0.26588144105759975,0.0
,4.0,8.0,1.0300546759398521,1.0384384140040683,-0.008383738064216217,54.85870042510932,0.169044762705035,1.0
,3.0,9.0,1.0535158915050993,1.0572255905544854,-0.003709699049386117,180.0,0.29919648043253316,0.0
,4.0,10.0,1.0299330312814832,1.0325728175428022,-0.0026397862613189993,80.88266175384884,0.23471863728739467,1.0
,5.0,10.0,1.0122771736339222,1.0151874938437837,-0.0029103202098614833,101.98453603682566,0.1300352672633579,1.0
,3.0,13.0,1.0492706965091083,1.0462204352273525,0.003050261281755784,319.8152486730387,0.8870386506463441,0.0
