cutoutRef,width,new_width,length,new_length,factor
3.0,4.484403501881764,4.498725637250752,6.1365099237133816,6.0771137224005,1.0327044113320498
6.0,6.8486338554636825,6.996234858490463,10.332762466400046,10.669436558293958,1.00130208
14.0,4.391292121353716,4.388700708144147,5.270660742990367,5.288021684964718,1.0430265009664659
16.0,6.254735192605122,6.107799054864171,10.36828832343642,10.51587054148629,0.99956729
18.0,7.472169528721127,7.602644845085185,10.011654428998302,10.075797684521598,0.99805447
19.0,5.549090765930531,5.799848855586542,10.134021267683304,10.375005530286689,1.001088850174216
20.0,4.259799311531987,4.289046973256228,5.122863766850672,5.112375079424977,1.037966739503372
22.0,5.110011458546606,5.178075845609067,10.251877930004293,10.260920485052482,1.0117127071823204
32.0,7.526681355075125,7.715224819087327,10.998180633757135,11.165711610484697,0.99333046
33.0,5.904804845077496,5.905677537836096,6.2086324793496575,6.209542820355533,1.0067893123083662
34.0,6.912946709419212,7.044717914946197,9.578993543083524,9.674088332690774,0.99333046
38.0,4.652777331172978,4.677451075152147,5.727793703724866,5.724189092148101,1.0271898437256075
41.0,6.817333556981794,6.919052289473664,10.014399959476592,10.011765625140018,0.9948287
43.0,6.095283497867406,6.100201892456645,7.754347714931586,7.735733040631356,1.0077825276772991
57.0,3.56481342052499,3.574667063221313,4.626694925246472,4.618824334546387,1.0597044962793596
58.0,5.889774376185304,5.880418869342557,7.4415373883552025,7.454922639285137,1.0089991220368746
70.0,7.376618517049337,7.461005743127045,8.625289314971809,8.363231852713165,0.9971904
73.0,7.190505573677747,7.294142970254138,9.602272754968137,9.137754129120005,0.99547219
82.0,6.3133607633479025,6.268780958757145,7.884967771747058,7.974676634137556,1.00086711
83.0,5.667032034663178,5.782263255290615,8.415000125818922,7.931108813361368,1.0105517696196968
104.0,5.440583463518856,5.658933053628138,9.067746892362926,8.328342665092244,1.006600660066007
106.0,5.914385749939513,6.087204309185503,9.902045858748464,9.708158325117559,1.0008708904855217
109.0,6.3214382688711215,6.30675423132772,7.7864807663837885,7.827168492493021,1.00697928
112.0,3.5379576341753323,3.5387289499820627,4.146843101887033,4.149551318119265,1.0539036477515922
