Simon #3 cutout,Simon #6 cutout,Simon #14 cutout,Simon #16 cutout,Simon #18 cutout,Simon #19 cutout,Simon #20 cutout,Simon #22 cutout,Simon #32 cutout,Simon #33 cutout,Simon #34 cutout,Simon #38 cutout,Simon #41 cutout,Simon #43 cutout,Simon #57 cutout,Simon #58 cutout,Simon #70 cutout,Simon #73 cutout,Simon #82 cutout,Simon #83 cutout,Simon #104 cutout,Simon #106 cutout,Simon #109 cutout,Simon #112 cutout
-3.16,-0.58,,,0.79,-1.84,2.23,,2.79,,-1.42,1.56,2.4,-2,-1.93,0.4,-2.79,-1.53,-3.78,-2.79,-1,,3.04,0.09
-3.16,-1.53,,,0.68,-2.05,2.2,,2.68,,-1.63,1.53,2.31,-2,-1.93,0.31,-2.89,-1.63,-3.78,-3.11,-0.05,,3.04,0.12
-3.05,-1.74,,,0.26,-2.16,2.2,,2.47,,-1.74,1.52,2.25,-2.11,-1.98,0.24,-3,-1.74,-3.78,-3.21,0.16,,3.04,0.13
-3.05,-2.58,,,0.16,-2.26,2.18,,2.37,,-1.84,1.48,2.16,-2.11,-1.98,0.21,-3.11,-1.84,-3.78,-3.53,0.26,,3.04,0.14
-2.84,-2.79,,,0.05,-2.53,2.18,,2.26,,-2.05,1.45,2.06,-2.32,-1.98,0.19,-3.47,-1.95,-3.78,-3.63,0.32,,3.04,0.17
-2.84,-3.11,,,-0.37,-2.53,2.16,,2.16,,-2.26,1.43,1.97,-2.32,-1.99,0.09,-3.47,-2.37,-3.78,-3.74,0.32,,3.04,0.2
-2.37,-3.42,,,-0.47,-2.63,2.16,,2.05,,-2.37,1.43,1.92,-2.42,-2.01,0.06,-3.58,-3.05,-3.82,-4.21,0.58,,3.04,0.22
-2.05,-3.63,,,-1.63,-2.56,2.14,,1.95,,-2.47,1.4,1.92,-2.42,-2.03,0.03,-3.58,-3.05,-3.82,-4.21,1.53,,3.04,0.24
-1.95,-3.89,,,-1.74,-2.56,2.11,,1.84,,-2.58,1.39,1.87,-2.63,-2.04,-0.03,-4,-3.58,-3.82,-4.32,1.63,,3.06,0.26
-1.63,-3.89,,,-1.84,-2.63,2.08,,1.63,,-2.68,1.37,1.82,-2.63,-2.06,-0.06,-4,-3.58,-3.82,-4.32,2.05,,3.06,0.31
-1.53,-3.95,,,-2.05,-2.53,2.08,,1.53,,-3,1.34,1.78,-2.74,-2.08,-0.13,-4.11,-3.68,-3.82,-4.21,2.32,,3.09,0.33
-1.42,-4.16,,,-2.16,-2.53,2.06,,1.42,,-3.11,1.31,1.73,-2.74,-2.08,-0.24,-4.11,-3.68,-3.82,-4.21,2.32,,3.09,0.34
-1.32,-4.42,,,-2.26,-2.26,2.06,,1.32,,-3.63,1.31,1.63,-2.84,-2.12,-0.24,-4,-3.79,-3.82,-4.11,2.37,,3.12,0.4
-0.16,-4.42,,,-2.37,-2.16,2.03,,1.11,,-3.74,1.27,1.54,-2.84,-2.13,-0.31,-4,-3.79,-3.82,-4.11,2.58,,3.14,0.42
-0.05,-4.47,,,-2.58,-2.11,2.03,,1,,-4.11,1.25,1.48,-3.05,-2.17,-0.34,-3.68,-3.89,-3.82,-4,2.84,,3.14,0.45
0.16,-4.68,,,-2.68,-2.11,2.01,,0.47,,-4.11,1.22,1.35,-3.05,-2.17,-0.43,-3.68,-3.89,-3.82,-4,2.84,,3.14,0.46
0.26,-4.95,,,-2.79,-2,1.99,,0.32,,-4.21,1.21,1.29,-3.16,-2.2,-0.49,-3.58,-4,-3.82,-3.89,2.89,,3.14,0.48
0.58,-4.95,,,-2.89,-2,1.96,,0.21,,-4.21,1.18,1.25,-3.16,-2.22,-0.59,-3.58,-4,-3.82,-3.89,3,,3.16,0.51
0.79,-4.68,,,-3.26,-1.74,1.96,,0.16,,-4.53,1.18,1.2,-3.26,-2.23,-0.71,-3.47,-4.11,-3.82,-3.79,3.32,,3.16,0.54
1,-4.47,,,-3.26,-1.63,1.96,,-0.37,,-4.53,1.16,1.15,-3.26,-2.25,-0.8,-3.47,-4.11,-3.82,-3.79,3.63,,3.16,0.57
1.11,-4.42,,,-3.37,-1.58,1.94,,-0.47,,-4.63,1.15,1.15,-3.37,-2.26,-0.93,-3.11,-4.21,-3.82,-3.32,3.89,,3.16,0.61
1.42,-4.42,,,-3.37,-1.58,1.94,,-0.58,,-4.63,1.12,1.05,-3.37,-2.28,-1.02,-3,-4.21,-3.82,-3.21,3.89,,3.19,0.65
1.63,-4.16,,,-3.84,-1.47,1.92,,-0.79,,-4.74,1.09,1.05,-3.21,-2.32,-1.07,-2.89,-4.32,-3.82,-3.11,3.95,,3.21,0.67
1.74,-3.95,,,-3.95,-1.47,1.88,,-1.11,,-4.74,1.06,1.01,-3.21,-2.32,-1.14,-2.68,-4.32,-3.82,-2.37,4.05,,3.21,0.69
1.84,-3.89,,,-4.32,-1.21,1.88,,-1.32,,-4.63,1.02,0.96,-3.26,-2.34,-1.2,-2.58,-4.21,-3.82,-2.26,4.37,,3.21,0.72
1.95,-3.89,,,-4.32,-1.11,1.88,,-2.05,,-4.63,0.99,0.92,-3.26,-2.35,-1.29,-2.47,-4.21,-3.82,-2.16,,,3.21,0.74
2.05,-3.63,,,-4.42,-0.68,1.86,,-2.26,,-4.53,0.99,0.86,-3.16,-2.37,-1.33,-2.37,-3.89,-3.82,-2.05,,,3.21,0.88
2.16,-3.21,,,-4.42,-0.58,1.86,,-2.47,,-4.53,0.97,0.82,-3.16,-2.39,-1.36,-1.95,-3.89,-3.82,-1.95,,,3.23,1.28
2.84,-3.11,,,-4.32,-0.47,1.84,,-2.79,,-4.21,0.94,0.72,-2.84,-2.4,-1.39,-1.84,-3.79,-3.82,-1.84,,,3.23,1.48
2.84,-1.63,,,-4.32,-0.05,1.84,,-2.89,,-4.21,0.89,0.67,-2.84,-2.42,-1.45,-1.42,-3.79,-3.82,-1,,,3.23,1.62
3,-1.53,,,-3.95,0.05,1.81,,-3.26,,-3.47,0.87,0.58,-2.58,-2.45,-1.54,-1.32,-3.11,-3.82,-0.89,,,3.26,1.74
,-1.11,,,-3.84,1.53,1.81,,-3.26,,-3.47,0.84,0.53,-2.47,-2.45,-1.63,-0.89,-3,-3.82,-0.79,,,3.26,1.78
,-1,,,-3.74,1.63,1.79,,-3.37,,-3.26,0.81,0.43,-2.05,-2.47,-1.66,-0.79,-2.89,-3.82,-0.74,,,3.28,1.78
,-0.68,,,-3.63,2.05,1.79,,-3.37,,-3.26,0.8,0.34,-1.95,-2.47,-1.76,0.26,-2.79,-3.82,-0.63,,,3.28,1.78
,-0.47,,,-3.42,2.16,1.74,,-3.47,,-3.05,0.77,0.28,-1.74,-2.48,-1.79,0.37,-2.58,-3.82,-0.58,,,3.31,1.78
,0.47,,,-3.32,2.26,1.74,,-3.47,,-3.05,0.75,0.24,-1.63,-2.51,-1.92,0.79,-2.37,-3.82,1.21,,,3.33,1.78
,0.58,,,-3.21,2.53,1.72,,-3.58,,-2.05,0.68,0.19,-1.53,-2.53,-2.03,0.89,-2.26,-3.82,1.32,,,3.33,1.76
,0.79,,,-1.53,2.53,1.72,,-3.58,,-1.95,0.67,0.09,-1.42,-2.56,-2.19,1,-1.74,-3.82,1.42,,,3.36,1.75
,1.11,,,-1.42,2.63,1.69,,-3.68,,-1.84,0.67,0.05,-1.32,-2.56,-2.32,1.11,-1.63,-3.82,1.53,,,3.36,1.74
,1.32,,,-1.32,2.63,1.69,,-3.68,,-1.74,0.65,0,-1.11,-2.58,-2.4,1.32,-1.21,-3.82,1.63,,,3.38,1.74
,1.63,,,-1.21,2.68,1.58,,-3.79,,-1.42,0.63,-0.09,-1,-2.58,-2.49,1.42,-1.11,-3.82,1.74,,,3.38,1.72
