Simon #3 cutout,Simon #6 cutout,Simon #14 cutout,Simon #16 cutout,Simon #18 cutout,Simon #19 cutout,Simon #20 cutout,Simon #22 cutout,Simon #32 cutout,Simon #33 cutout,Simon #34 cutout,Simon #38 cutout,Simon #41 cutout,Simon #43 cutout,Simon #57 cutout,Simon #58 cutout,Simon #70 cutout,Simon #73 cutout,Simon #82 cutout,Simon #83 cutout,Simon #104 cutout,Simon #106 cutout,Simon #109 cutout,Simon #112 cutout
0.89,4.32,,,4.32,5.05,-0.29,,4.53,,4.95,-1.74,-2.59,2.58,-1.64,-3.42,3.26,3.68,0.6,1.16,-3.58,,-0.84,2.39
0.05,4.32,,,4.32,5.05,-0.29,,4.53,,4.95,-1.75,-2.59,2.47,-1.63,-3.42,3.26,3.68,0.47,1.16,-3.58,,-0.82,2.39
-0.05,4.11,,,4.74,4.95,-0.27,,4.74,,4.84,-1.75,-2.64,2.37,-1.56,-3.42,3.16,3.58,0.44,1.05,-3.37,,-0.8,2.39
-1,4.11,,,4.74,4.95,-0.27,,4.74,,4.84,-1.79,-2.74,2.26,-1.54,-3.42,3.16,3.58,0.4,1.05,-3.37,,-0.77,2.4
-1.21,3.89,,,4.84,4.68,-0.24,,4.84,,4.63,-1.8,-2.79,2.05,-1.53,-3.42,2.79,3.47,0.32,0.95,-3.42,,-0.75,2.4
-1.42,3.89,,,4.84,4.58,-0.24,,4.84,,4.63,-1.8,-2.83,1.95,-1.53,-3.39,2.68,3.47,0.2,0.95,-3.84,,-0.73,2.39
-1.89,3.58,,,4.95,4.47,-0.22,,4.95,,4.53,-1.82,-2.83,1.84,-1.48,-3.42,2.58,2.79,0.12,0.47,-4.11,,-0.71,2.39
-1.89,3.58,,,4.95,4.19,-0.2,,4.95,,4.53,-1.83,-2.88,1.74,-1.46,-3.42,2.05,2.68,0,0.37,-4.11,,-0.67,2.39
-2,3.32,,,4.84,-1.85,-0.15,,5.05,,4.42,-1.83,-2.93,1.53,-1.46,-3.42,1.63,2.16,-0.08,0.26,-4,,-0.63,2.37
-2,3,,,4.84,-2.05,-0.15,,5.05,,4.42,-1.85,-2.98,1.42,-1.46,-3.45,1.53,2.05,-0.16,-1.63,-4,,-0.6,2.36
-2.11,2.95,,,4.63,-2.16,-0.13,,5.16,,4.11,-1.86,-2.98,1.32,-1.46,-3.45,1.42,1.95,-0.2,-1.74,-3.74,,-0.56,2.36
-2.11,2.95,,,4.63,-2.26,-0.09,,5.16,,4.11,-1.89,-2.98,1.21,-1.45,-3.42,-1.63,1.84,-0.32,-1.84,-3.42,,-0.53,2.36
-2.21,2.68,,,4.53,-2.53,-0.05,,5.26,,3.58,-1.92,-3.07,1.11,-1.42,-3.39,-1.74,1.74,-0.36,-1.95,-3.37,,-0.51,2.34
-2.21,2.47,,,4.53,-2.53,-0.02,,5.26,,3.58,-1.95,-3.17,1,-1.42,-3.36,-1.84,1.63,-0.52,-2.37,-3.37,,-0.48,2.34
-2.11,2.42,,,4.32,-2.58,0,,5.37,,3.21,-1.96,-3.22,0.79,-1.4,-3.36,-2.16,1.53,-0.64,-2.47,-3.11,,-0.46,2.34
-2.11,2.42,,,4.32,-2.79,0.05,,5.37,,3.11,-1.98,-3.36,0.68,-1.38,-3.33,-2.37,1.42,-0.8,-2.58,-2.68,,-0.43,2.34
-2,2.16,,,4.21,-2.89,0.07,,5.21,,3,-1.99,-3.36,0.58,-1.35,-3.31,-2.47,1.32,-0.87,-2.68,-2.63,,-0.41,2.33
-2,-1.11,,,4.21,-3,0.07,,5.21,,2.79,-2.01,-3.41,0.47,-1.35,-3.27,-2.79,1.11,-1,-3,-2.63,,-0.39,2.33
-1.79,-1.37,,,3.84,-3.26,0.09,,5.26,,2.47,-2.02,-3.46,0.37,-1.33,-3.27,-2.89,1,-1.03,-3.11,-2.32,,-0.36,2.32
-1.79,-1.37,,,3.74,-3.26,0.13,,5.26,,2.37,-2.05,-3.51,0.26,-1.29,-3.24,-3,0.79,-1.12,-3.21,-2.32,,-0.32,2.29
-1.68,-1.42,,,3.63,-3.32,0.15,,5.16,,2.26,-2.08,-3.56,0.16,-1.29,-3.18,-3.37,0.68,-1.23,-3.68,-2.05,,-0.29,2.29
-1.68,-1.84,,,3.42,-3.74,0.2,,5.16,,2.16,-2.12,-3.56,-0.37,-1.24,-3.15,-3.37,0.26,-1.27,-3.68,-1.74,,-0.26,2.29
-1.47,-2.11,,,2.95,-3.84,0.2,,4.95,,2.05,-2.14,-3.6,-0.53,-1.21,-3.12,-3.47,0.16,-1.39,-3.79,-1.68,,-0.22,2.28
-1.47,-2.11,,,2.95,-3.95,0.22,,4.95,,1.11,-2.15,-3.65,-0.63,-1.19,-3.05,-3.47,-1.95,-1.43,-3.79,-1.68,,-0.19,2.27
-1.37,-2.16,,,2.58,-4.21,0.24,,4.74,,1,-2.18,-3.65,-0.68,-1.18,-2.99,-3.58,-2.05,-1.47,-3.89,-1.37,,-0.17,2.27
-1.37,-2.47,,,2.47,-4.21,0.27,,4.74,,0.58,-2.2,-3.69,-1.42,-1.16,-2.93,-3.58,-2.16,-1.59,-3.89,,,-0.15,2.24
-1.26,-2.74,,,2.37,-4.63,0.29,,4.53,,0.47,-2.21,-3.69,-1.53,-1.15,-2.89,-3.68,-2.47,-1.63,-4,,,-0.12,2.16
-1.26,-2.74,,,-3.11,-4.63,0.32,,4.53,,-0.05,-2.24,-3.75,-2.26,-1.07,-2.81,-3.68,-3.11,-1.75,-4,,,-0.12,1.81
-0.58,-2.84,,,-3.21,-4.74,0.37,,4.21,,-0.37,-2.26,-3.8,-2.58,-1.05,-2.81,-3.79,-3.21,-1.83,-4.11,,,-0.09,1.54
-0.47,-2.84,,,-3.32,-4.74,0.39,,4.21,,-0.47,-2.29,-3.84,-2.68,-1.01,-2.75,-3.79,-3.32,-1.95,-4.11,,,-0.07,1.2
-0.32,-2.95,,,-3.68,-4.84,0.42,,3.84,,-1.21,-2.31,-3.84,-2.95,-0.94,-2.68,-3.89,-4,-2.07,-4,,,-0.05,0.65
,-2.95,,,-3.68,-4.84,0.44,,3.74,,-1.53,-2.35,-3.84,-2.95,-0.93,-2.59,-3.89,-4,-2.11,-4,,,-0.02,0.05
,-3.05,,,-3.79,-4.74,0.46,,3.63,,-1.74,-2.36,-3.89,-3.37,-0.91,-2.59,-4,-4.11,-2.19,-3.95,,,0.02,-0.41
,-3.05,,,-3.79,-4.74,0.49,,3.53,,-1.95,-2.36,-3.89,-3.37,-0.88,-2.46,-4,-4.11,-2.27,-3.95,,,0.05,-0.42
,-3.26,,,-4,-4.63,0.52,,3.42,,-2.16,-2.38,-3.89,-3.58,-0.85,-2.46,-3.89,-4.32,-2.31,-4,,,0.09,-0.45
,-3.26,,,-4,-4.63,0.57,,3.32,,-2.26,-2.38,-3.89,-3.58,-0.8,-2.41,-3.89,-4.32,-2.39,-4,,,0.09,-0.48
,-3.37,,,-4.11,-4.37,0.57,,3.21,,-3.26,-2.39,-3.89,-3.68,-0.74,-2.32,-3.79,-4.42,-2.43,-3.89,,,0.12,-0.51
,-3.37,,,-4.11,-4.26,0.59,,3.11,,-3.26,-2.39,-3.94,-3.68,-0.69,-2.22,-3.79,-4.42,-2.55,-3.89,,,0.12,-0.54
,-3.68,,,-4,-4.16,0.61,,3,,-3.37,-2.41,-3.99,-3.79,-0.68,-2.13,-3.68,-4.53,-2.66,-3.79,,,0.15,-0.57
,-3.68,,,-4,-3.74,0.64,,2.89,,-3.37,-2.41,-3.99,-3.79,-0.61,-2,-3.68,-4.53,-2.71,-3.79,,,0.15,-0.58
,-4,,,-3.89,-3.68,0.8,,2.79,,-3.68,-2.41,-3.99,-3.89,-0.6,-1.92,-3.58,-4.63,-2.82,-3.68,,,0.17,-0.62
,-4,,,-3.89,-3.68,1.29,,2.37,,-3.68,-2.45,-3.99,-3.89,-0.56,-1.76,-3.58,-4.63,-2.86,-3.68,,,0.17,-0.65
,-4.11,,,-4.11,-3.42,1.75,,2.26,,-3.79,-2.48,-4.03,-4,-0.52,-1.63,-3.47,-4.74,-2.91,-3.21,,,0.19,-0.66
,-4.11,,,-4.11,-3.32,2.02,,2.05,,-3.79,-2.51,-4.03,-4,-0.44,-1.6,-3.47,-4.74,-2.95,-3.11,,,0.19,-0.67
,-3.84,,,-4.21,-3.26,2.11,,1.95,,-3.89,-2.51,-4.03,-4.11,-0.43,-1.48,-3.37,-4.84,-3.22,-3,,,0.22,-0.71
,-3.53,,,-4.21,,2.24,,1.84,,-3.89,-2.54,-4.03,-4.11,-0.33,-1.45,-3.37,-4.84,-3.26,-2.58,,,0.22,-0.74
,-3.47,,,-4.32,,2.28,,1.74,,-4,-2.57,-4.03,-3.79,-0.31,-1.33,-3.26,-4.74,-3.31,-2.05,,,0.24,-0.75
,-3.47,,,-4.32,,2.21,,1.42,,-4,-2.6,-4.03,-3.79,-0.25,-1.29,-3.26,-4.74,-3.33,-1.95,,,0.24,-0.76
,-3.21,,,-4.53,,2.11,,1.32,,-4.11,-2.61,-4.03,-3.42,-0.22,-1.23,-3.16,-4.63,-3.34,-1.53,,,0.26,-0.79
,-3,,,-4.53,,1.99,,0.58,,-4.11,-2.64,-4.03,-3.32,-0.2,-1.14,-3.16,-4.63,-3.36,-1.42,,,0.29,-0.82
,-2.95,,,-4.63,,1.82,,0.47,,-4,-2.64,-4.03,-3.26,-0.19,-1.11,-2.95,-4.53,-3.39,-1.21,,,0.29,-0.84
,-2.95,,,-4.63,,1.42,,0.26,,-4,-2.67,-4.03,-3.26,-0.17,-1.05,-2.95,-4.53,-3.42,-1.11,,,0.32,-0.88
,-2.74,,,-4.53,,1.08,,0.05,,-3.89,-2.71,-4.03,-2.79,-0.11,-0.93,-2.84,-4.05,-3.43,-1.05,,,0.34,-0.91
,,,,-4.53,,0.78,,-1,,-3.89,-2.76,-4.03,-2.68,-0.06,-0.89,-2.84,-3.95,-3.45,,,,0.36,-0.95
