Simon #3 cutout,Simon #6 cutout,Simon #14 cutout,Simon #16 cutout,Simon #18 cutout,Simon #19 cutout,Simon #20 cutout,Simon #22 cutout,Simon #32 cutout,Simon #33 cutout,Simon #34 cutout,Simon #38 cutout,Simon #41 cutout,Simon #43 cutout,Simon #57 cutout,Simon #58 cutout,Simon #70 cutout,Simon #73 cutout,Simon #82 cutout,Simon #83 cutout,Simon #104 cutout,Simon #106 cutout,Simon #109 cutout,Simon #112 cutout
-3,-0.55,,,0.75,-1.75,2.12,,2.65,,-1.35,1.48,2.28,-1.9,-1.83,0.38,-2.65,-1.45,-3.59,-2.65,-0.95,,2.89,0.09
-3,-1.45,,,0.65,-1.95,2.09,,2.55,,-1.55,1.45,2.19,-1.9,-1.83,0.29,-2.75,-1.55,-3.59,-2.95,-0.05,,2.89,0.11
-2.9,-1.65,,,0.25,-2.05,2.09,,2.35,,-1.65,1.44,2.14,-2,-1.88,0.23,-2.85,-1.65,-3.59,-3.05,0.15,,2.89,0.12
-2.9,-2.45,,,0.15,-2.15,2.07,,2.25,,-1.75,1.41,2.05,-2,-1.88,0.2,-2.95,-1.75,-3.59,-3.35,0.25,,2.89,0.13
-2.7,-2.65,,,0.05,-2.4,2.07,,2.15,,-1.95,1.38,1.96,-2.2,-1.88,0.18,-3.3,-1.85,-3.59,-3.45,0.3,,2.89,0.16
-2.7,-2.95,,,-0.35,-2.4,2.05,,2.05,,-2.15,1.36,1.87,-2.2,-1.89,0.09,-3.3,-2.25,-3.59,-3.55,0.3,,2.89,0.19
-2.25,-3.25,,,-0.45,-2.5,2.05,,1.95,,-2.25,1.36,1.82,-2.3,-1.91,0.06,-3.4,-2.9,-3.63,-4,0.55,,2.89,0.21
-1.95,-3.45,,,-1.55,-2.43,2.03,,1.85,,-2.35,1.33,1.82,-2.3,-1.93,0.03,-3.4,-2.9,-3.63,-4,1.45,,2.89,0.23
-1.85,-3.7,,,-1.65,-2.43,2,,1.75,,-2.45,1.32,1.78,-2.5,-1.94,-0.03,-3.8,-3.4,-3.63,-4.1,1.55,,2.91,0.25
-1.55,-3.7,,,-1.75,-2.5,1.98,,1.55,,-2.55,1.3,1.73,-2.5,-1.96,-0.06,-3.8,-3.4,-3.63,-4.1,1.95,,2.91,0.29
-1.45,-3.75,,,-1.95,-2.4,1.98,,1.45,,-2.85,1.27,1.69,-2.6,-1.98,-0.12,-3.9,-3.5,-3.63,-4,2.2,,2.94,0.31
-1.35,-3.95,,,-2.05,-2.4,1.96,,1.35,,-2.95,1.24,1.64,-2.6,-1.98,-0.23,-3.9,-3.5,-3.63,-4,2.2,,2.94,0.32
-1.25,-4.2,,,-2.15,-2.15,1.96,,1.25,,-3.45,1.24,1.55,-2.7,-2.01,-0.23,-3.8,-3.6,-3.63,-3.9,2.25,,2.96,0.38
-0.15,-4.2,,,-2.25,-2.05,1.93,,1.05,,-3.55,1.21,1.46,-2.7,-2.02,-0.29,-3.8,-3.6,-3.63,-3.9,2.45,,2.98,0.4
-0.05,-4.25,,,-2.45,-2,1.93,,0.95,,-3.9,1.19,1.41,-2.9,-2.06,-0.32,-3.5,-3.7,-3.63,-3.8,2.7,,2.98,0.43
0.15,-4.45,,,-2.55,-2,1.91,,0.45,,-3.9,1.16,1.28,-2.9,-2.06,-0.41,-3.5,-3.7,-3.63,-3.8,2.7,,2.98,0.44
0.25,-4.7,,,-2.65,-1.9,1.89,,0.3,,-4,1.15,1.23,-3,-2.09,-0.47,-3.4,-3.8,-3.63,-3.7,2.75,,2.98,0.46
0.55,-4.7,,,-2.75,-1.9,1.86,,0.2,,-4,1.12,1.19,-3,-2.11,-0.56,-3.4,-3.8,-3.63,-3.7,2.85,,3,0.48
0.75,-4.45,,,-3.1,-1.65,1.86,,0.15,,-4.3,1.12,1.14,-3.1,-2.12,-0.67,-3.3,-3.9,-3.63,-3.6,3.15,,3,0.51
0.95,-4.25,,,-3.1,-1.55,1.86,,-0.35,,-4.3,1.1,1.09,-3.1,-2.14,-0.76,-3.3,-3.9,-3.63,-3.6,3.45,,3,0.54
1.05,-4.2,,,-3.2,-1.5,1.84,,-0.45,,-4.4,1.09,1.09,-3.2,-2.15,-0.88,-2.95,-4,-3.63,-3.15,3.7,,3,0.58
1.35,-4.2,,,-3.2,-1.5,1.84,,-0.55,,-4.4,1.06,1,-3.2,-2.17,-0.97,-2.85,-4,-3.63,-3.05,3.7,,3.03,0.62
1.55,-3.95,,,-3.65,-1.4,1.82,,-0.75,,-4.5,1.04,1,-3.05,-2.2,-1.02,-2.75,-4.1,-3.63,-2.95,3.75,,3.05,0.64
1.65,-3.75,,,-3.75,-1.4,1.79,,-1.05,,-4.5,1.01,0.96,-3.05,-2.2,-1.08,-2.55,-4.1,-3.63,-2.25,3.85,,3.05,0.66
1.75,-3.7,,,-4.1,-1.15,1.79,,-1.25,,-4.4,0.97,0.91,-3.1,-2.22,-1.14,-2.45,-4,-3.63,-2.15,4.15,,3.05,0.68
1.85,-3.7,,,-4.1,-1.05,1.79,,-1.95,,-4.4,0.94,0.87,-3.1,-2.23,-1.23,-2.35,-4,-3.63,-2.05,,,3.05,0.7
1.95,-3.45,,,-4.2,-0.65,1.77,,-2.15,,-4.3,0.94,0.82,-3,-2.25,-1.26,-2.25,-3.7,-3.63,-1.95,,,3.05,0.84
2.05,-3.05,,,-4.2,-0.55,1.77,,-2.35,,-4.3,0.92,0.78,-3,-2.27,-1.29,-1.85,-3.7,-3.63,-1.85,,,3.07,1.22
