Simon #3 cutout,Simon #6 cutout,Simon #14 cutout,Simon #16 cutout,Simon #18 cutout,Simon #19 cutout,Simon #20 cutout,Simon #22 cutout,Simon #32 cutout,Simon #33 cutout,Simon #34 cutout,Simon #38 cutout,Simon #41 cutout,Simon #43 cutout,Simon #57 cutout,Simon #58 cutout,Simon #70 cutout,Simon #73 cutout,Simon #82 cutout,Simon #83 cutout,Simon #104 cutout,Simon #106 cutout,Simon #109 cutout,Simon #112 cutout
0.85,4.1,,,4.1,4.8,-0.28,,4.3,,4.7,-1.65,-2.46,2.45,-1.56,-3.25,3.1,3.5,0.57,1.1,-3.4,,-0.8,2.27
0.05,4.1,,,4.1,4.8,-0.28,,4.3,,4.7,-1.66,-2.46,2.35,-1.55,-3.25,3.1,3.5,0.45,1.1,-3.4,,-0.78,2.27
-0.05,3.9,,,4.5,4.7,-0.26,,4.5,,4.6,-1.66,-2.51,2.25,-1.48,-3.25,3,3.4,0.42,1,-3.2,,-0.76,2.27
-0.95,3.9,,,4.5,4.7,-0.26,,4.5,,4.6,-1.7,-2.6,2.15,-1.46,-3.25,3,3.4,0.38,1,-3.2,,-0.73,2.28
-1.15,3.7,,,4.6,4.45,-0.23,,4.6,,4.4,-1.71,-2.65,1.95,-1.45,-3.25,2.65,3.3,0.3,0.9,-3.25,,-0.71,2.28
-1.35,3.7,,,4.6,4.35,-0.23,,4.6,,4.4,-1.71,-2.69,1.85,-1.45,-3.22,2.55,3.3,0.19,0.9,-3.65,,-0.69,2.27
-1.8,3.4,,,4.7,4.25,-0.21,,4.7,,4.3,-1.73,-2.69,1.75,-1.41,-3.25,2.45,2.65,0.11,0.45,-3.9,,-0.67,2.27
-1.8,3.4,,,4.7,3.98,-0.19,,4.7,,4.3,-1.74,-2.74,1.65,-1.39,-3.25,1.95,2.55,0,0.35,-3.9,,-0.64,2.27
-1.9,3.15,,,4.6,-1.76,-0.14,,4.8,,4.2,-1.74,-2.78,1.45,-1.39,-3.25,1.55,2.05,-0.08,0.25,-3.8,,-0.6,2.25
-1.9,2.85,,,4.6,-1.95,-0.14,,4.8,,4.2,-1.76,-2.83,1.35,-1.39,-3.28,1.45,1.95,-0.15,-1.55,-3.8,,-0.57,2.24
-2,2.8,,,4.4,-2.05,-0.12,,4.9,,3.9,-1.77,-2.83,1.25,-1.39,-3.28,1.35,1.85,-0.19,-1.65,-3.55,,-0.53,2.24
-2,2.8,,,4.4,-2.15,-0.09,,4.9,,3.9,-1.8,-2.83,1.15,-1.38,-3.25,-1.55,1.75,-0.3,-1.75,-3.25,,-0.5,2.24
-2.1,2.55,,,4.3,-2.4,-0.05,,5,,3.4,-1.82,-2.92,1.05,-1.35,-3.22,-1.65,1.65,-0.34,-1.85,-3.2,,-0.48,2.22
-2.1,2.35,,,4.3,-2.4,-0.02,,5,,3.4,-1.85,-3.01,0.95,-1.35,-3.19,-1.75,1.55,-0.49,-2.25,-3.2,,-0.46,2.22
-2,2.3,,,4.1,-2.45,0,,5.1,,3.05,-1.86,-3.06,0.75,-1.33,-3.19,-2.05,1.45,-0.61,-2.35,-2.95,,-0.44,2.22
-2,2.3,,,4.1,-2.65,0.05,,5.1,,2.95,-1.88,-3.19,0.65,-1.31,-3.16,-2.25,1.35,-0.76,-2.45,-2.55,,-0.41,2.22
-1.9,2.05,,,4,-2.75,0.07,,4.95,,2.85,-1.89,-3.19,0.55,-1.28,-3.14,-2.35,1.25,-0.83,-2.55,-2.5,,-0.39,2.21
-1.9,-1.05,,,4,-2.85,0.07,,4.95,,2.65,-1.91,-3.24,0.45,-1.28,-3.11,-2.65,1.05,-0.95,-2.85,-2.5,,-0.37,2.21
-1.7,-1.3,,,3.65,-3.1,0.09,,5,,2.35,-1.92,-3.29,0.35,-1.26,-3.11,-2.75,0.95,-0.98,-2.95,-2.2,,-0.34,2.2
-1.7,-1.3,,,3.55,-3.1,0.12,,5,,2.25,-1.95,-3.33,0.25,-1.23,-3.08,-2.85,0.75,-1.06,-3.05,-2.2,,-0.3,2.18
-1.6,-1.35,,,3.45,-3.15,0.14,,4.9,,2.15,-1.98,-3.38,0.15,-1.23,-3.02,-3.2,0.65,-1.17,-3.5,-1.95,,-0.28,2.18
-1.6,-1.75,,,3.25,-3.55,0.19,,4.9,,2.05,-2.01,-3.38,-0.35,-1.18,-2.99,-3.2,0.25,-1.21,-3.5,-1.65,,-0.25,2.18
